,Training loss,Training accuracy,Epoch
0,0.03897308698877425,0.9495700795696844,1
1,0.02227375777897628,0.9657434621740814,2
2,0.01711671398995961,0.9725447265544551,3
3,0.012822100012060314,0.9790397227316743,4
4,0.00973960443761075,0.9839517000554161,5
5,0.007495418797864272,0.9877923093563183,6
6,0.0058208385111663445,0.9903924454262886,7
7,0.004558326844121083,0.992390585231023,8
8,0.003699557676310946,0.994024083289638,9
9,0.0029728769755038745,0.9951372686874074,10
